Time,Engine Coolant Temperature [C],Intake Manifold Pressure [kPa],Engine RPM [RPM],Vehicle Speed [km/h],Intake Air Temperature [C],MAF [g/s],Throttle Position [%],Ambient Air Temperature [C]
185,83.0,38,1526.0,30.0,31.0,9.67,28.20,4.0
186,83.0,43,1469.0,29.0,31.0,10.95,29.40,4.0
187,83.0,42,1451.0,29.0,31.0,10.25,28.60,4.0
188,83.0,20,1424.0,25.0,31.0,3.17,20.00,4.0
189,83.0,33,1209.0,18.0,32.0,3.7,19.60,4.0
190,83.0,51,813.0,,32.0,4.23,20.40,4.0
191,83.0,20,1207.0,26.0,32.0,9.02,27.10,4.0
192,83.0,32,1253.0,27.0,32.0,3.27,20.00,4.0
193,83.0,25,1373.0,31.0,32.0,6.82,25.10,4.0
194,83.0,20,1570.0,33.0,32.0,4,22.00,4.0
195,83.0,20,1125.0,34.0,32.0,3.52,19.60,4.0
196,83.0,20,1162.0,35.0,32.0,3.45,19.60,4.0
197,82.0,21,1113.0,32.0,33.0,3.58,19.20,4.0
198,82.0,21,1067.0,31.0,33.0,3.27,18.80,4.0
199,82.0,22,1040.0,31.0,33.0,3.05,18.80,4.0
200,82.0,20,1058.0,33.0,33.0,3.16,18.80,4.0
201,82.0,22,1086.0,32.0,33.0,3.55,19.20,4.0
202,82.0,23,1081.0,31.0,33.0,3.29,19.20,4.0
203,82.0,31,1527.0,31.0,32.0,8.17,26.70,4.0
204,82.0,37,1538.0,30.0,31.0,8.46,27.10,4.0
205,82.0,39,1484.0,30.0,31.0,9.82,28.20,4.0
206,82.0,40,1479.0,30.0,31.0,10.4,29.00,4.0
207,82.0,30,1518.0,31.0,31.0,10.56,29.00,4.0
208,82.0,36,998.0,29.0,32.0,1.98,18.80,4.0
209,82.0,25,950.0,26.0,32.0,3.9,17.60,4.0
210,83.0,22,771.0,20.0,33.0,4.26,19.60,4.0
211,83.0,29,928.0,15.0,33.0,3.21,19.20,4.0
212,83.0,34,720.0,11.0,33.0,4.36,21.60,4.0
213,83.0,33,789.0,6.0,33.0,4.69,20.80,4.0
214,83.0,31,810.0,3.0,33.0,3.83,20.00,4.0
215,83.0,33,793.0,1.0,33.0,4.06,20.40,4.0
216,83.0,33,798.0,0.0,33.0,4.3,20.40,4.0
217,83.0,31,805.0,0.0,33.0,4.34,20.40,4.0
218,83.0,31,809.0,0.0,33.0,3.94,20.40,4.0
219,83.0,32,801.0,0.0,33.0,4.27,20.40,4.0
220,83.0,31,804.0,0.0,33.0,4.29,20.40,4.0
221,83.0,31,810.0,0.0,,3.83,20.00,4.0
222,83.0,31,779.0,0.0,33.0,4.26,20.40,4.0
223,83.0,38,786.0,0.0,33.0,4.31,20.40,4.0
224,84.0,48,723.0,13.0,32.0,7.95,28.60,4.0
225,84.0,56,1196.0,23.0,31.0,12.74,30.60,4.0
226,84.0,55,1796.0,,31.0,4,21.60,4.0
227,84.0,52,1330.0,31.0,31.0,13.04,30.60,4.0
228,85.0,28,1577.0,,31.0,14.22,31.00,4.0
229,85.0,43,1108.0,33.0,31.0,8.4,27.10,4.0
230,85.0,44,1111.0,33.0,31.0,8.21,26.70,4.0
231,86.0,45,1122.0,34.0,31.0,8.39,27.10,4.0
232,86.0,45,1122.0,34.0,31.0,8.88,27.50,4.0
233,86.0,45,1144.0,35.0,31.0,8.78,27.50,4.0
234,86.0,44,1210.0,37.0,31.0,8.97,27.50,4.0
235,85.0,43,1256.0,39.0,31.0,9.31,27.80,4.0
236,85.0,42,1296.0,39.0,31.0,9.48,28.20,4.0
237,85.0,37,1293.0,36.0,31.0,9.54,28.20,4.0
238,85.0,45,1766.0,34.0,31.0,12.1,29.80,4.0
239,84.0,46,1666.0,32.0,31.0,13.35,30.60,4.0
240,84.0,46,1611.0,,31.0,13.08,30.60,4.0
241,84.0,43,1683.0,37.0,30.0,13.76,30.60,4.0
242,84.0,40,1446.0,,31.0,3.26,20.80,4.0
243,84.0,39,1236.0,38.0,31.0,8.44,27.10,4.0
244,84.0,41,1268.0,38.0,31.0,8.71,27.50,4.0
245,84.0,20,1296.0,39.0,31.0,8.84,27.50,4.0
246,84.0,36,1271.0,,31.0,3.51,20.00,4.0
247,84.0,38,1219.0,37.0,31.0,7.75,26.30,4.0
248,84.0,43,1256.0,,31.0,9.27,27.80,4.0
249,84.0,21,1325.0,40.0,31.0,9.87,28.60,4.0
250,84.0,21,1304.0,37.0,32.0,3.3,19.20,4.0
251,84.0,35,1209.0,36.0,31.0,3.43,20.00,4.0
252,84.0,31,1234.0,38.0,31.0,4.79,20.00,4.0
253,83.0,19,1269.0,38.0,31.0,5,22.40,4.0
254,83.0,25,1270.0,39.0,31.0,3.48,20.40,4.0
255,83.0,33,1295.0,38.0,31.0,5.43,23.10,4.0
256,82.0,35,1278.0,36.0,31.0,7.43,25.50,4.0
257,82.0,46,1610.0,34.0,31.0,14.06,30.60,4.0
258,82.0,19,1734.0,37.0,31.0,12.66,30.20,4.0
259,82.0,18,1848.0,38.0,31.0,5.51,23.50,4.0
260,82.0,19,1849.0,36.0,31.0,4.93,22.70,4.0
261,82.0,18,1758.0,34.0,31.0,4.72,22.40,4.0
262,82.0,20,1628.0,31.0,31.0,4.41,22.00,4.0
263,82.0,23,1523.0,32.0,31.0,5.93,24.30,4.0
264,82.0,23,1578.0,32.0,31.0,6.23,24.30,4.0
265,82.0,23,1608.0,33.0,31.0,6.37,24.70,4.0
266,82.0,25,1650.0,33.0,31.0,6.48,25.10,4.0
267,82.0,19,1621.0,29.0,31.0,4.39,21.60,4.0
268,82.0,21,1421.0,24.0,31.0,3.92,21.20,4.0
269,82.0,37,1169.0,15.0,32.0,3.6,19.60,4.0
270,82.0,47,801.0,10.0,32.0,4.23,20.40,4.0
271,82.0,52,1455.0,,31.0,2.88,18.80,4.0
272,82.0,27,1316.0,16.0,31.0,11.41,29.80,4.0
273,83.0,61,1095.0,28.0,31.0,12.97,31.00,4.0
274,83.0,47,1157.0,34.0,31.0,9.12,27.50,4.0
275,83.0,53,1110.0,32.0,,8.81,27.50,4.0
276,83.0,59,1074.0,,31.0,10.22,29.00,4.0
277,83.0,61,1059.0,31.0,31.0,10.39,29.00,4.0
278,83.0,59,1021.0,31.0,31.0,10.47,29.00,4.0
279,83.0,47,1137.0,39.0,31.0,11.08,29.40,4.0
280,83.0,20,1304.0,39.0,31.0,3.03,20.00,4.0
281,83.0,21,1301.0,39.0,31.0,3.62,20.40,4.0
282,83.0,20,1284.0,37.0,31.0,3.52,20.40,4.0
283,83.0,34,1213.0,35.0,31.0,7.34,25.90,4.0
284,82.0,23,1160.0,31.0,31.0,6.73,25.10,4.0
285,82.0,51,1512.0,30.0,31.0,11.02,29.40,4.0
286,82.0,48,1528.0,33.0,30.0,13.38,30.60,4.0
287,83.0,45,1687.0,36.0,30.0,14.29,31.00,4.0
288,83.0,32,1777.0,35.0,31.0,4.82,21.60,4.0
289,83.0,35,1153.0,34.0,31.0,6.72,25.10,4.0
290,83.0,34,1127.0,33.0,31.0,6.45,24.70,4.0
291,83.0,37,1103.0,32.0,31.0,6.42,24.30,4.0
292,83.0,35,1089.0,,31.0,6.52,24.30,4.0
293,83.0,28,1452.0,,31.0,7.69,26.30,4.0
294,83.0,20,1040.0,33.0,32.0,2.76,18.80,4.0
295,83.0,21,1140.0,36.0,32.0,3.71,19.20,4.0
296,83.0,21,1214.0,37.0,32.0,3.37,20.00,4.0
297,83.0,20,1248.0,36.0,32.0,3.57,20.40,4.0
298,83.0,20,1179.0,32.0,32.0,3.49,20.00,4.0
299,83.0,22,1055.0,,32.0,3.19,18.80,4.0
300,83.0,28,936.0,26.0,33.0,2.89,18.80,4.0
301,83.0,37,816.0,25.0,32.0,4.58,22.70,4.0
302,83.0,34,1277.0,28.0,31.0,7.78,26.30,4.0
303,83.0,33,1422.0,32.0,31.0,8.3,26.70,4.0
304,83.0,22,1626.0,32.0,31.0,8.89,27.50,4.0
305,82.0,30,1070.0,33.0,31.0,5.24,23.10,4.0
